"estado","uf","regiao","populacao","ano"
"Acre","AC","Norte","884.372","2025"
"Alagoas","AL","Nordeste","3.220.848","2025"
"Amapá","AP","Norte","806.517","2025"
"Amazonas","AM","Norte","4.321.616","2025"
"Bahia","BA","Nordeste","14.870.907","2025"
"Ceará","CE","Nordeste","9.268.836","2025"
"Distrito Federal","DF","Centro-Oeste","2.996.899","2025"
"Espírito Santo","ES","Sudeste","4.126.854","2025"
"Goiás","GO","Centro-Oeste","7.423.629","2025"
"Maranhão","MA","Nordeste","7.018.211","2025"
"Mato Grosso","MT","Centro-Oeste","3.893.659","2025"
"Mato Grosso do Sul","MS","Centro-Oeste","2.924.631","2025"
"Minas Gerais","MG","Sudeste","21.393.441","2025"
"Pará","PA","Norte","8.711.196","2025"
"Paraíba","PB","Nordeste","4.164.468","2025"
"Paraná","PR","Sul","11.890.517","2025"
"Pernambuco","PE","Nordeste","9.562.007","2025"
"Piauí","PI","Nordeste","3.384.547","2025"
"Rio de Janeiro","RJ","Sudeste","17.223.547","2025"
"Rio Grande do Norte","RN","Nordeste","3.455.236","2025"
"Rio Grande do Sul","RS","Sul","11.233.263","2025"
"Rondônia","RO","Norte","1.751.950","2025"
"Roraima","RR","Norte","738.772","2025"
"Santa Catarina","SC","Sul","8.187.029","2025"
"São Paulo","SP","Sudeste","46.081.801","2025"
"Sergipe","SE","Nordeste","2.299.425","2025"
"Tocantins","TO","Norte","1.586.859","2025"
